category,Journal,article_id,num_click
정치,B일보,E7hmCKhJZm,505
부동산,B일보,vSKqQweatj,758
경제,B일보,h9YGdfa2IB,858
부동산,B일보,ZG4Y6a9Tes,707
공학,B일보,LxOOYnLG8c,3636
사회,B일보,7caUfJNzWr,1953
경제,B일보,qurdfu2ycg,2537
부동산,D일보,SG3YYzNp8m,663
경제,B일보,eJPcgOUyQn,2172
사설,E뉴스,rpulRsh7I2,1355
경제,B일보,aGbpZQuNV3,1648
연예,C일보,gMh6MbCJAw,2007
사설,C일보,MmOzjOTYxx,657
증권,D일보,Y0TD7lRn6i,798
정치,B일보,plAg3MLAWN,1765
스포츠,B일보,0IJbLIz1iW,469
사회,B일보,ybNEqhMljv,2989
사설,C일보,KTtb6Idr87,1409
경제,E뉴스,1t97Z2EDZ7,968
스포츠,B일보,71fTNbKzoF,1132
사설,E뉴스,ANtPgqJVFO,631
사설,C일보,Df5ftFl4UW,827
스포츠,C일보,0axym58uAN,2123
사회,B일보,pjBLhPwxB5,2493
증권,C일보,gg4tCdR4DU,8783
증권,B일보,mQb8PAMNEA,953
공학,B일보,otC2W609Fu,721
경제,C일보,kTfpsC22ig,766
부동산,E뉴스,RoZFTUI3FS,633
부동산,B일보,54nP4h73hs,951
연예,E뉴스,5b73mUqR6d,1256
사설,B일보,PiJ61vX0Qn,974
공학,C일보,NE4kiipPID,2116
사설,B일보,OO04lpIDkd,876
사설,B일보,lnJ98TdMxF,828
사설,B일보,yr0CLrVQZ3,745
부동산,C일보,zdKLdJza35,540
사회,B일보,VmM8N0fvIL,547
사설,B일보,bszsqG318M,603
스포츠,B일보,n3dOS2D4sg,2500
정치,B일보,ixUOghngxW,1809
연예,B일보,uF47yffYab,2658
경제,B일보,zf0lXCxNYZ,578
사설,B일보,wwOzVrdUOr,508
경제,B일보,1e02F05pX2,721
정치,D일보,2XtsK73A7O,1102
스포츠,D일보,KFI4huHR10,1357
사설,B일보,s1sTJlxjqb,2036
경제,D일보,PveLjLXcYB,1178
공학,E뉴스,ED7MC4kaLG,3649
사회,B일보,TOue6TvnQ4,881
사설,C일보,mph0jUsArG,656
경제,C일보,o3xQe5TaBm,535
공학,B일보,s8B5mIIT8Z,661
공학,B일보,LuKmVPNT6O,1147
사회,C일보,tRMQEpgkb0,661
정치,E뉴스,rX3StNKg6c,1867
스포츠,B일보,15rOIxd9Th,2743
사설,D일보,vXP6Xi1iL2,482
증권,B일보,vpNqUCHGoq,1767
사회,B일보,rtpvkyLDNx,490
부동산,B일보,wgtCDDuU9D,1272
사회,C일보,JpFji2Z7LJ,2348
공학,C일보,ictG76ws3C,1031
사설,C일보,njIuSAYOMI,587
부동산,E뉴스,eyBorbSTRa,743
경제,B일보,93ziqwxLAh,863
공학,B일보,knjmLkRuu3,899
사설,D일보,vuQMT2iqBB,890
경제,B일보,BWvDFypBYB,934
사회,B일보,udNbj5OajK,1127
사설,E뉴스,0Azd1EG3ME,598
사설,B일보,CzL4D81OmM,872
사설,B일보,TsQSK0lYu7,3002
부동산,E뉴스,4fuen4cTuP,813
사회,B일보,WqBqdkaCU3,791
정치,B일보,fV38n5QnuH,2086
사설,C일보,8I1gGfSsOy,473
정치,C일보,LTUDjzGxGc,2266
사회,B일보,uDXRHTXZCi,729
경제,B일보,RoomAeQTbU,1094
사설,B일보,v6MUZZJ4Bg,1050
부동산,B일보,CNEpaERzaB,1876
스포츠,D일보,nwgaFlRRl1,861
부동산,D일보,LQ13ehV77Z,716
부동산,B일보,I2AUxZR3tg,2493
연예,B일보,EJKNCgDFwy,483
경제,B일보,taJ472j0Wn,1005
사회,B일보,pBxmaRkXXS,576
사설,B일보,0ePuxmYJfx,692
부동산,B일보,hWW0UbuLQx,4640
경제,E뉴스,8SpYYHXPNp,969
공학,B일보,Kynb8zPkJK,1115
증권,C일보,IHhP11OZhJ,525
경제,B일보,ylYST0uigF,701
사설,B일보,ES2pxChgqG,1116
부동산,C일보,exOPvGDs7j,1233
정치,B일보,QvMIR29KNK,1474
증권,C일보,u8KGbkGwWX,998
경제,B일보,Yrqt8VfLGH,1384
사설,B일보,C1sFzYW7xd,1317
증권,E뉴스,lWGX194j08,520
부동산,B일보,6gAQzO1FBQ,1014
정치,C일보,iVXYICHo1H,1644
경제,E뉴스,f77S8gWY3U,1446
연예,B일보,Ez5nZGzUfY,821
사설,C일보,IhCkZDLqMS,681
공학,D일보,Shl8zRLz4J,614
스포츠,E뉴스,5xrvJb1j12,924
사회,B일보,fKcacUER6T,2180
사회,D일보,VhOCYA9nTt,510
증권,D일보,uSW0i7Siw2,721
증권,E뉴스,h1SdjvcHq7,610
사회,B일보,VW5ZfSLuZ4,1665
경제,C일보,W1XpGfvgBL,753
사회,B일보,DR9qb5njqb,782
부동산,B일보,XJxJ5zd45c,883
사회,E뉴스,yDVALf0FQE,1310
사회,C일보,ArDMNnn9Xl,810
부동산,E뉴스,ph5oUmAeo4,456
사설,B일보,fkWMoZ3jfV,1400
경제,B일보,z5gHIxTGOK,1304
경제,E뉴스,NFYzFIz0UN,882
사설,B일보,R9rOvitkmC,620
부동산,B일보,gL9KHhcVUW,1231
경제,C일보,D1uFfONiuq,1253
사회,B일보,hT77AigWMb,782
스포츠,B일보,dGBEHPbkjR,884
연예,B일보,D9LtukOWg9,652
경제,B일보,69VGqAxTVh,901
공학,E뉴스,fVEAvsiPev,549
사설,B일보,SIry5CDCr7,1285
부동산,B일보,8uovzcscqa,649
공학,D일보,vBtOvMH6T7,1144
경제,D일보,609SS6SuZO,568
사설,B일보,jf3c8VApe0,742
사설,B일보,za4GGifFTK,934
사설,B일보,c0uSBjxDfm,537
사회,B일보,jvHTi4mDCV,1062
부동산,C일보,uJCM85Ce9L,815
사설,B일보,4Xo0OFBL8Z,528
사회,E뉴스,HxfFh6C0mF,583
사회,B일보,jnTjUd6cMp,1462
증권,B일보,nH8ZPbz2xK,1809
경제,B일보,ZD8IGb9d5H,924
스포츠,B일보,64LAn5MApP,1274
연예,B일보,gMHIhNE7RB,1134
사회,B일보,YLqxwzELKN,1213
부동산,B일보,umuEWsTV4G,2469
사설,E뉴스,Qh8nMIC5B0,554
사회,C일보,JmmO43SaaW,1538
연예,B일보,5QNehQ11KJ,814
연예,D일보,miP3rktq0L,880
사회,B일보,5GTdGx7Y0O,846
부동산,B일보,m1T6WCMXLo,817
사설,E뉴스,XzBmCwE2pY,595
증권,B일보,KNpELuI1yu,1107
사회,B일보,ZNgqZMHb5y,3426
스포츠,C일보,xSKimSWUDj,962
부동산,B일보,OS401yd4PA,992
증권,B일보,fBt3aUqtIw,713
스포츠,B일보,Rk3j2IDQdO,931
사회,B일보,qcubiBPDIE,1328
사회,C일보,s5sHJmNFjG,819
경제,E뉴스,QiCEvZsQeZ,788
연예,B일보,L6vTRJsPo5,1273
사설,B일보,mBYksUey3Z,655
사설,E뉴스,x7mSfdg1gp,1155
사설,E뉴스,GRYnVPxHl6,1710
사회,B일보,A6dYilKSir,2625
경제,B일보,07nhIWuKvS,944
사설,B일보,KTLx7tiMYc,2642
증권,B일보,N8h9ecYRhv,2015
스포츠,C일보,xP8mMuIRQv,638
사회,B일보,UchNp5d6aW,596
경제,B일보,GZylulHgOt,845
사설,D일보,BIRYOhfIes,2007
경제,C일보,mRuStapcQu,954
공학,B일보,nmT19jf0Hh,739
사회,D일보,VoKCu8gA69,3091
사설,B일보,PyNm9kRdWX,1180
스포츠,D일보,FvbWoUCpOf,485
경제,C일보,GGGp1XOIUr,1204
부동산,B일보,xbr019ScO8,1378
사회,E뉴스,pLssQNPeyP,1136
경제,E뉴스,3nfWFbA0fD,1313
경제,B일보,6LDPOMUCkf,956
정치,B일보,xf4c3SJfXC,580
사회,B일보,k2qM7vhmXl,819
연예,D일보,CbEfbAReEr,649
공학,C일보,NKkFbD32ph,651
경제,B일보,DKT4zI243j,589
사회,C일보,IlBItECO4V,1316
스포츠,E뉴스,ge3PWvDRce,1051
증권,D일보,Ku7fBq2uLB,789
경제,B일보,OO6QG9bIlp,724
증권,B일보,FP8MtddCsW,980
공학,B일보,Kjes2P7iN6,2088
사설,C일보,QVAcDbheMU,505
부동산,B일보,yON6tNdpF0,1251
경제,B일보,MPdp35runm,756
부동산,E뉴스,UPoaDfiPdS,515
스포츠,B일보,lqUB6MFnmI,510
증권,B일보,nbzhp07Sv7,656
스포츠,C일보,4VshjB8W98,1131
사설,B일보,Vyig9TKtZb,1264
사회,C일보,S2Azz46d3l,650
사회,B일보,lQqUx4Y6ds,1987
사설,C일보,ulSzgqYojw,2768
사설,D일보,nLQ6FB6Mdr,1267
사회,B일보,IKS70LcSeX,741
사회,B일보,6RRmOyjotp,2164
